Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°];Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°]
Barra 31;14,143241;14,172291;14,199955;1,024873;1,026978;1,028982;-0,154921;-120,234384;119,878047;Barra 31;14,190045;14,219054;14,248012;1,028264;1,030366;1,032465;-0,443273;-120,527674;119,585401
Barra 34;14,137674;14,167355;14,195849;1,024469;1,02662;1,028685;-0,153717;-120,23579;119,878955;Barra 34;14,185304;14,214939;14,244757;1,027921;1,030068;1,032229;-0,450327;-120,537439;119,577953
Barra 38;14,132119;14,162428;14,191752;1,024067;1,026263;1,028388;-0,152515;-120,237193;119,879863;Barra 38;14,180573;14,210833;14,241509;1,027578;1,02977;1,031993;-0,457372;-120,54719;119,570517
Barra 42;14,131857;14,162166;14,191488;1,024048;1,026244;1,028369;-0,152503;-120,237179;119,879874;Barra 42;14,180466;14,210724;14,241403;1,02757;1,029763;1,031986;-0,458879;-120,548703;119,569
Barra 51;14,131595;14,161903;14,191226;1,024029;1,026225;1,02835;-0,152491;-120,237165;119,879885;Barra 51;14,180359;14,210616;14,241297;1,027562;1,029755;1,031978;-0,460385;-120,550215;119,567485
Barra 41;14,13121;14,161514;14,190833;1,024001;1,026197;1,028321;-0,152477;-120,237136;119,879899;Barra 41;14,179661;14,209915;14,240587;1,027512;1,029704;1,031927;-0,457335;-120,547132;119,570553
Barra 59;14,131015;14,161322;14,190643;1,023987;1,026183;1,028307;-0,152465;-120,237133;119,87991;Barra 59;14,180184;14,210436;14,241124;1,02755;1,029742;1,031966;-0,464314;-120,554161;119,56353
Barra 67;14,131015;14,161322;14,190643;1,023987;1,026183;1,028307;-0,152465;-120,237133;119,87991;Barra 67;14,180184;14,210436;14,241124;1,02755;1,029742;1,031966;-0,464314;-120,554161;119,56353
Barra 63;14,130996;14,161303;14,190624;1,023985;1,026181;1,028306;-0,152464;-120,237132;119,879911;Barra 63;14,180215;14,210466;14,241155;1,027552;1,029744;1,031968;-0,464793;-120,554643;119,563048
Barra 78;14,130932;14,161238;14,190559;1,023981;1,026177;1,028301;-0,152467;-120,237135;119,879907;Barra 78;14,180328;14,210578;14,24127;1,02756;1,029752;1,031976;-0,466427;-120,556286;119,561403
Barra 80;14,130887;14,161193;14,190514;1,023977;1,026173;1,028298;-0,152469;-120,237137;119,879905;Barra 80;14,180283;14,210533;14,241225;1,027557;1,029749;1,031973;-0,466429;-120,556288;119,561401
Barra 81;14,130883;14,16119;14,190511;1,023977;1,026173;1,028298;-0,15247;-120,237137;119,879905;Barra 81;14,18028;14,21053;14,241222;1,027557;1,029749;1,031973;-0,46643;-120,556288;119,561401
Barra 53;14,130839;14,161141;14,190458;1,023974;1,02617;1,028294;-0,152461;-120,237113;119,879913;Barra 53;14,179288;14,209541;14,24021;1,027485;1,029677;1,031899;-0,457319;-120,547109;119,570568
Barra 57;14,130523;14,160822;14,190138;1,023951;1,026147;1,028271;-0,153066;-120,237713;119,879305;Barra 57;14,178971;14,209221;14,23989;1,027462;1,029654;1,031876;-0,457924;-120,547709;119,569959
Barra 61;14,130437;14,160742;14,190062;1,023945;1,026141;1,028265;-0,152439;-120,237101;119,879934;Barra 61;14,179606;14,209856;14,240543;1,027508;1,0297;1,031923;-0,464289;-120,554129;119,563554
Barra 69;14,130267;14,160571;14,189892;1,023932;1,026128;1,028253;-0,152432;-120,237092;119,879941;Barra 69;14,179435;14,209685;14,240372;1,027495;1,029687;1,031911;-0,464281;-120,55412;119,563561
Barra 71;14,129894;14,160194;14,189513;1,023905;1,026101;1,028226;-0,153478;-120,238132;119,878888;Barra 71;14,17906;14,209306;14,239991;1,027468;1,02966;1,031883;-0,465327;-120,55516;119,562508
Barra 74;14,129757;14,16006;14,18938;1,023895;1,026091;1,028216;-0,152408;-120,237064;119,879964;Barra 74;14,178925;14,209174;14,239859;1,027458;1,02965;1,031874;-0,464258;-120,554093;119,563583
Barra 82;14,129693;14,159996;14,189315;1,023891;1,026087;1,028211;-0,152406;-120,23706;119,879966;Barra 82;14,178861;14,209109;14,239795;1,027454;1,029646;1,031869;-0,464255;-120,554089;119,563586
Barra 83;14,129693;14,159996;14,189315;1,023891;1,026087;1,028211;-0,152406;-120,23706;119,879966;Barra 83;14,178861;14,209109;14,239795;1,027454;1,029646;1,031869;-0,464255;-120,554089;119,563586
Barra 43;14,127052;14,158022;14,188214;1,023699;1,025944;1,028131;-0,151289;-120,238706;119,880781;Barra 43;14,176146;14,207064;14,238636;1,027257;1,029497;1,031785;-0,4626;-120,555247;119,564897
Barra 58;14,126005;14,156268;14,185575;1,023624;1,025816;1,02794;-0,161689;-120,246274;119,870617;Barra 58;14,174439;14,204651;14,23531;1,027133;1,029323;1,031544;-0,466549;-120,556268;119,561271
Barra 66;14,125536;14,155794;14,185101;1,02359;1,025782;1,027906;-0,162585;-120,247164;119,869714;Barra 66;14,173968;14,204176;14,234834;1,027099;1,029288;1,03151;-0,467445;-120,557157;119,560368
Barra 70;14,124763;14,155015;14,18432;1,023534;1,025726;1,027849;-0,164061;-120,248629;119,868226;Barra 70;14,173192;14,203394;14,23405;1,027043;1,029231;1,031453;-0,468922;-120,558622;119,55888
Barra 76;14,12457;14,15482;14,184124;1,02352;1,025712;1,027835;-0,164431;-120,248996;119,867854;Barra 76;14,172998;14,203198;14,233854;1,027029;1,029217;1,031439;-0,469292;-120,558989;119,558508
Barra 50;14,123231;14,154699;14,185547;1,023423;1,025703;1,027938;-0,150363;-120,239847;119,881474;Barra 50;14,172808;14,204223;14,23647;1,027015;1,029292;1,031628;-0,466543;-120,561325;119,560658
Barra 77;14,124315;14,154563;14,183867;1,023501;1,025693;1,027816;-0,164918;-120,24948;119,867363;Barra 77;14,172742;14,202941;14,233595;1,02701;1,029199;1,03142;-0,469779;-120,559473;119,558017
Barra 55;14,120058;14,15202;14,18333;1,023193;1,025509;1,027778;-0,152189;-120,243027;119,880247;Barra 55;14,170232;14,202143;14,234868;1,026828;1,029141;1,031512;-0,472031;-120,568226;119,555725
Barra 60;14,106389;14,140524;14,173866;1,022202;1,024676;1,027092;-0,160005;-120,256804;119,875066;Barra 60;14,15919;14,193284;14,228112;1,026028;1,028499;1,031023;-0,495967;-120,598377;119,534239
Barra 68;14,096126;14,131911;14,166795;1,021458;1,024052;1,026579;-0,16586;-120,26719;119,871217;Barra 68;14,150923;14,186675;14,223098;1,025429;1,02802;1,030659;-0,514069;-120,621199;119,518007
Barra 73;14,09274;14,129188;14,164459;1,021213;1,023854;1,02641;-0,171508;-120,273796;119,867402;Barra 73;14,148485;14,184908;14,221735;1,025253;1,027892;1,030561;-0,523191;-120,631343;119,510687
Barra 84;14,087867;14,125099;14,161101;1,02086;1,023558;1,026167;-0,174294;-120,278734;119,865572;Barra 84;14,144561;14,181771;14,219355;1,024968;1,027665;1,030388;-0,531798;-120,64219;119,502974
Barra 85;14,087291;14,12452;14,160521;1,020818;1,023516;1,026125;-0,174744;-120,279175;119,865119;Barra 85;14,144376;14,181583;14,219171;1,024955;1,027651;1,030375;-0,534604;-120,645008;119,500148
Barra 88;14,085928;14,123147;14,159147;1,020719;1,023416;1,026025;-0,177352;-120,281765;119,862499;Barra 88;14,14301;14,180207;14,217794;1,024856;1,027551;1,030275;-0,537208;-120,647592;119,497532
Barra 93;14,085818;14,123037;14,159037;1,020711;1,023408;1,026017;-0,177245;-120,281657;119,862605;Barra 93;14,1429;14,180097;14,217684;1,024848;1,027543;1,030267;-0,537101;-120,647485;119,497638
Barra 89;14,085349;14,122562;14,15856;1,020677;1,023374;1,025983;-0,178463;-120,282866;119,861378;Barra 89;14,142428;14,17962;14,217205;1,024814;1,027509;1,030232;-0,538319;-120,648693;119,496411
Barra 95;14,085196;14,122408;14,158406;1,020666;1,023363;1,025971;-0,178755;-120,283155;119,861083;Barra 95;14,142276;14,179465;14,21705;1,024803;1,027497;1,030221;-0,538611;-120,648982;119,496116
Barra 86;14,083361;14,121399;14,158153;1,020533;1,02329;1,025953;-0,176769;-120,283425;119,86408;Barra 86;14,140695;14,178717;14,217072;1,024688;1,027443;1,030223;-0,53824;-120,650919;119,497467
Barra 91;14,083632;14,120828;14,156822;1,020553;1,023248;1,025857;-0,181753;-120,286127;119,858058;Barra 91;14,140705;14,177879;14,215459;1,024689;1,027383;1,030106;-0,54161;-120,651953;119,493091
Barra 97;14,083285;14,120477;14,156471;1,020528;1,023223;1,025831;-0,182419;-120,286787;119,857386;Barra 97;14,140356;14,177527;14,215106;1,024664;1,027357;1,03008;-0,542276;-120,652613;119,492419
Barra 98;14,082177;14,119359;14,15535;1,020448;1,023142;1,02575;-0,184542;-120,288892;119,855244;Barra 98;14,139245;14,176404;14,213981;1,024583;1,027276;1,029999;-0,544399;-120,654717;119,490278
Barra 100;14,081956;14,119136;14,155127;1,020432;1,023126;1,025734;-0,184965;-120,289312;119,854818;Barra 100;14,139023;14,176181;14,213757;1,024567;1,027259;1,029982;-0,544822;-120,655136;119,489851
